Category,id,Item.Title,Item.Price,Item.Total.Price,Item.Service.Fee,Item.Currency,Item.Brand,Item.Size,Item.Status,Item.URL,Item.Photo.URL,Item.Favorites,Seller.ID,Seller.Username,Seller.URL,Seller.Photo,Is.Business.Seller,Is.Promoted,Created.Date,Timestamp
Skirt,7741817854.0,Black Pleated Y2K Micro Skirt,20.0,21.7,1.7,USD,NO LABEL,M / US 8-10,Good,https://www.vinted.com/items/7741817854-black-pleated-y2k-micro-skirt,https://images1.vinted.net/t/05_02096_UaFqBEeYZwXgceoY7FgvS33N/f800/1765432842.webp?s=d6283eab98de3b1dc39105819b5573b2a6555021,5.0,310406958.0,peachkittycat,https://www.vinted.com/member/310406958-peachkittycat,https://images1.vinted.net/t/05_00eda_zFSMq7m3GSRMwc2FyfN6MrQ7/f800/1765432674.webp?s=b6f59dfe285a2d898a538e2c5f66d3fa47c17fd1,No,No,12/11/2025,1765432842000.0
Skirt,7736138768.0,Sage green Corduroy mini shorts,10.0,11.2,1.2,USD,Not Available,S / US 4-6,Good,https://www.vinted.com/items/7736138768-sage-green-corduroy-mini-shorts,https://images1.vinted.net/t/05_01458_v4LdJMDKb4RuNZQvLKxGTsCX/f800/1765358903.webp?s=20858ca3844d31e7984dda80c779bc21fd405aec,2.0,3123566269.0,nya3x,https://www.vinted.com/member/3123566269-nya3x,Not Available,No,No,12/10/2025,1765358903000.0
Skirt,7741548839.0,Black Silky Mini Skirt,5.0,5.95,0.95,USD,Wild Fable,M / US 8-10,New with tags,https://www.vinted.com/items/7741548839-black-silky-mini-skirt,https://images1.vinted.net/t/05_012f0_K9VGoCPqh4ut7h1GtQock8GZ/f800/1765408059.webp?s=b2ea7b0320f0c163ce54719d0366c94ea944f17c,4.0,206313647.0,ccampbell15,https://www.vinted.com/member/206313647-ccampbell15,https://images1.vinted.net/t/01_003af_JJTkxxXbNwSEd6hpiQV3xHpa/f800/1721999069.webp?s=a5dc255f6fdd4c0a26b1e76bf5736440d449c39a,No,No,12/11/2025,1765408059000.0
Skirt,7730922972.0,American Eagle • Plaid Skirt,7.0,8.05,1.05,USD,American Eagle,M / US 8-10,Very good,https://www.vinted.com/items/7730922972-american-eagle-plaid-skirt,https://images1.vinted.net/t/06_025a0_hG31z8WoB4V5DH1i3gLeB3aX/f800/1765282506.webp?s=3b860afe17de0dcef6e68a635fb25181373b0ef5,24.0,316571348.0,melimelon06,https://www.vinted.com/member/316571348-melimelon06,https://images1.vinted.net/t/06_0252c_2fkC2XE62b17K78vm3Etascm/f800/1765212306.webp?s=416667cc216dcaa82e98d8ec04201f2d5ebb7a41,No,No,12/9/2025,1765282506000.0
Skirt,7740733610.0,Beach cover skirt,5.0,5.95,0.95,USD,Calvin Klein,M / US 8-10,Very good,https://www.vinted.com/items/7740733610-beach-cover-skirt,https://images1.vinted.net/t/05_01dfe_TgCMiEB2nqFnFwPPcyHLJhN8/f800/1765397889.webp?s=ca6c6439b856f29654abdfd93ab2223a35ee2e80,8.0,311200274.0,amcutter,https://www.vinted.com/member/311200274-amcutter,Not Available,No,No,12/10/2025,1765397889000.0
Skirt,7741256808.0,Pleated Mini Skirt,5.4,6.37,0.97,USD,Forever 21,S / US 4-6,New without tags,https://www.vinted.com/items/7741256808-pleated-mini-skirt,https://images1.vinted.net/t/05_01630_CP4zKwNnyUk8npuEb1Jx2EcA/f800/1765402991.webp?s=566f65bb3f86bbafceacd7deb23a93e606504fcc,7.0,3123519896.0,haliey11,https://www.vinted.com/member/3123519896-haliey11,https://images1.vinted.net/t/06_01c99_9QrDXumsiNJuEpzyYu6si73k/f800/1765365221.webp?s=529d3eb9b0c77f81908e6ff7b5c0b3c0bad7f634,No,No,12/10/2025,1765402991000.0
Skirt,7660086107.0,vintage classic maxi black skirt,12.0,13.3,1.3,USD,NO LABEL,S / US 4-6,Very good,https://www.vinted.com/items/7660086107-vintage-classic-maxi-black-skirt,https://images1.vinted.net/t/05_01017_Zgkt8zgwnyFy8D3cciNXr1dw/f800/1764391718.webp?s=2c06138016e4d912372709fa0ae89b356ffffda3,11.0,80157008.0,gracygriffin,https://www.vinted.com/member/80157008-gracygriffin,https://images1.vinted.net/t/03_0233c_85t7mXMBcV6grGz7i7Pt6EMx/f800/1643387550.webp?s=483232ec539152b7003077fe172e31a234bbd99a,No,No,11/29/2025,1764391718000.0
Skirt,7734750473.0,Lolita Petticoat Skirt,25.0,26.95,1.95,USD,Lolita,S / US 4-6,New without tags,https://www.vinted.com/items/7734750473-lolita-petticoat-skirt,https://images1.vinted.net/t/06_01a8f_oKDyWAB7hhEPazTRw7utuKdn/f800/1765314577.webp?s=e8397403016d49f8a0cd587d7e1d3ee89f3b374d,123.0,3123551673.0,yoonbug,https://www.vinted.com/member/3123551673-yoonbug,https://images1.vinted.net/t/02_01268_kthoynPtt5DHinANzkWuTsfV/f800/1765312519.webp?s=5835e7c329c78025bdc3c25d72256039778fa072,No,No,12/9/2025,1765314577000.0
Skirt,7741797377.0,Brandy Melville Cheetah trim long sleeve button down,10.0,11.2,1.2,USD,Brandy Melville,One size,Very good,https://www.vinted.com/items/7741797377-brandy-melville-cheetah-trim-long-sleeve-button-down,https://images1.vinted.net/t/06_01342_brPh9Hspq3pVm5cTN17dTvg3/f800/1765431510.webp?s=e3b462da8a74cf67f07bfdfb4886f6608048d391,0.0,3123590379.0,cherrychapsick,https://www.vinted.com/member/3123590379-cherrychapsick,https://images1.vinted.net/t/01_019dc_Y6VNbzjveqGzHTnJuT4t7tUT/f800/1765337620.webp?s=8bb127781e764b01ecaeed5ed1f02178bb3b1f5f,No,No,12/11/2025,1765431510000.0
Skirt,7701266774.0,women’s windsor brown lace up mini skirt,3.0,3.85,0.85,USD,Windsor,XS / US 2,New without tags,https://www.vinted.com/items/7701266774-womens-windsor-brown-lace-up-mini-skirt,https://images1.vinted.net/t/05_011bc_V4DBdvP7CLdAtaRKU1TrSYhL/f800/1764918600.webp?s=cf11d9fbe1607863231cd3872cadc6bbcc37c845,8.0,140356030.0,lyssaha17,https://www.vinted.com/member/140356030-lyssaha17,https://images1.vinted.net/t/02_014a8_AQE4y2Ek13XzhWJACo4Xngia/f800/1715739340.webp?s=c3d383b11b37254fa953326156ea353992b63036,No,No,12/5/2025,1764918600000.0
